"Địa phương","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"     Thanh Hoá",422675,165221,188242,69212,408056,147772,181684,78600,377253,136305,162389,78559,345941,122648,144247,79046,313774,117606,119716,76452,307528,125326,107118,75084,293690,118547,105951,69192,274863,116278,91270,67315,256484,110028,86488,59968,254874,112664,87317,54893,261083,118521,90854,51708,262609,122065,90119,50425,267336,126007,89570,51759,273169,130803,90564,51802,287617,143061,90653,53903,297686,151802,91828,54056
"     Nghệ An",351364,143025,150164,58175,358339,141191,148168,68980,338960,126524,142365,70071,319988,121054,131426,67508,297033,112746,115657,68630,282766,110279,106474,66013,271184,110281,94577,66326,259394,110297,88598,60499,253312,111498,85400,56414,248365,113604,82364,52397,246804,115444,82844,48516,250938,119681,84426,46831,252265,119033,85085,48147,258823,125091,86256,47476,272452,136142,88265,48045,283144,144851,89130,49163
"     Hà Tĩnh",168491,66217,68756,33518,157048,60121,65742,31185,154215,55133,64933,34149,146369,52273,59521,34575,138525,49329,53202,35994,133436,50227,49588,33621,125589,47861,44195,33533,122053,48410,41814,31829,115248,46662,39299,29287,110517,46551,36834,27132,108824,46943,36914,24967,109185,48674,36529,23982,108113,47976,36205,23932,109670,49837,36943,22890,113328,53753,36505,23070,116176,56821,36638,22717
"     Quảng Bình",104745,44772,42359,17614,100504,40823,41858,17823,98689,37209,40072,21408,90223,35038,34816,20369,88553,33182,33896,21475,86274,34603,30829,20842,83369,34605,28645,20119,80657,34817,27066,18774,78458,34291,26258,17909,77347,34522,25839,16986,77015,34199,26740,16076,77060,35251,26719,15090,76409,34386,26556,15467,77999,35674,26613,15712,80698,38135,26284,16279,83422,39568,26694,17160
"     Quảng Trị",75624,34247,29394,11983,74852,31890,29715,13247,73638,29719,29389,14530,72472,28431,28521,15520,69958,27424,26162,16372,67672,26358,24255,17059,65715,26774,22435,16506,63551,26358,21552,15641,61564,26110,20437,15017,61733,27351,20422,13960,61549,27641,20707,13201,61270,28139,20646,12485,60313,27343,20763,12207,61118,27834,20851,12433,49884,20757,16641,12486,57450,25971,19110,12369
"     Thừa Thiên Huế",125940,61558,46253,18129,125913,57841,47337,20735,124643,53906,47276,23461,120301,51044,46768,22489,115964,48697,42513,24754,114273,47854,41400,25019,111901,47274,39160,25467,111469,46694,38893,25882,105656,45168,35879,24609,102648,44811,34516,23321,100040,43922,34252,21866,98312,43557,34080,20675,95808,41513,33838,20457,96675,42882,33627,20166,98341,44773,33131,20437,99784,45953,33218,20613
"     Đà Nẵng",77487,32514,29360,15613,77479,31129,29385,16965,75521,29283,29382,16856,74371,28562,27641,18168,73988,28066,27468,18454,74015,30460,25203,18352,73802,31753,23518,18531,74585,33357,22971,18257,75918,35031,22526,18361,77077,37160,23514,16403,78949,38792,24710,15447,81430,40536,25672,15222,83020,39823,27461,15736,86866,42188,29016,15662,92219,45693,30280,16246,95813,47163,31459,17191
"     Quảng Nam",170047,75155,66207,28685,161654,66430,64563,30661,163562,65799,63432,34331,154619,59229,59889,35501,145090,53978,55275,35837,139553,53298,50730,35525,139954,55027,48053,36874,137096,54151,46653,36292,131433,53629,44417,33387,130528,54271,43535,32722,128915,55063,43116,30736,128192,56527,42355,29310,126162,54687,42328,29147,127738,56901,42344,28493,128478,60183,42634,25661,131877,61190,43342,27345
"     Quảng Ngãi",141425,62989,56027,22409,138726,56489,57137,25100,137092,53829,56026,27237,127853,49433,52645,25775,123366,47026,47215,29125,120127,46916,43997,29214,113922,46412,38877,28633,108953,43773,37202,27978,107139,45633,35251,26255,104300,46943,34012,23345,102972,47228,34230,21514,104649,48849,35327,20473,102649,46918,35335,20396,104250,47506,36304,20440,105262,48842,36097,20323,105664,48228,36826,20610
"     Bình Định",168707,75187,68368,25152,167496,70143,68993,28360,141871,66403,44774,30694,162131,63499,63401,35231,158027,60886,58958,38183,154505,60455,54520,39530,151504,60692,51118,39694,146182,59741,49521,36920,142529,58973,47630,35926,138124,59838,46706,31580,136544,59662,46777,30105,134809,60123,45907,28779,132337,57597,45452,29288,132880,57935,46134,28811,134496,59558,46304,28634,133773,58612,46342,28819
