"Địa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Tiền Giang",311784,155472,115474,40838,306357,149433,115078,41846,297691,140372,112973,44346,288786,135882,106965,45939,284834,133950,105260,45624,278340,132575,100104,45661,273093,130289,99315,43489,273827,138434,94096,41297,271954,140518,92429,39007,273107,139715,94068,39324,274072,140475,93698,39899,276738,141460,97404,37874,279740,139186,102399,38155,280874,140566,102056,38252,277195,134113,101925,41157,278545,133832,102748,41965,199902,96797,69914,33191,280517,135764,100511,44242
"Bến Tre",265457,125927,98421,41109,257118,119072,95297,42749,245283,107953,93854,43476,235391,101359,89483,44549,227577,97641,87365,42571,218759,95707,82185,40867,210346,93453,78036,38857,209148,98256,72139,38753,205437,99541,68656,37240,203299,98449,69647,35203,200680,97969,68556,34155,199969,97447,71283,31239,199858,95126,74032,30700,199717,95524,73634,30559,196495,91507,73327,31661,197657,92847,72975,31835,166101,87601,55297,23203,200947,97348,70197,33402
"Trà Vinh",203162,104664,73431,25067,200913,93710,77839,29364,188287,85064,73049,30174,171503,79745,61398,30360,161863,78826,55699,27338,153665,77917,50942,24806,150393,76385,50373,23635,146540,79003,47877,19660,148204,81608,48344,18252,149475,81169,51169,17137,150522,81229,51544,17749,152754,81784,53402,17568,155126,81792,55420,17914,157207,82859,55472,18876,157936,82087,55287,20562,160871,83504,55973,21394,170757,82935,57400,30422,169076,87752,56136,25188
"Vĩnh Long",211321,94101,80893,36327,206201,89727,78731,37743,198506,82130,77945,38431,187812,78782,69508,39522,181700,77625,65945,38130,176015,76844,62103,37068,170484,75113,60245,35126,169702,79456,56202,34044,167564,80233,54451,32880,166416,79035,55143,32238,163797,78884,54386,30527,164620,79584,57001,28035,165877,78880,59399,27598,167408,80884,58728,27796,166338,78483,58175,29680,168268,79590,58722,29956,283082,143701,97783,41598,172133,83330,59131,29672
"Đồng Tháp",321836,179975,109027,32834,320472,163670,120426,36376,313692,149595,123403,40694,299339,141392,114762,43185,289470,139041,105128,45301,280284,138509,96666,45109,275351,135420,93516,46415,273406,139861,88726,44819,271981,142328,87903,41750,271737,142871,89827,39039,273214,144306,89061,39847,276896,146476,92010,38410,279671,146945,94472,38254,282034,148999,94497,38538,278935,142435,96416,40084,279455,140537,98688,40230,362870,191533,124600,46737,282020,140191,99803,42026
"An Giang",385298,217411,124148,43739,386066,211355,127716,46995,374617,198452,128010,48155,358552,186459,123396,48697,345258,181411,117918,45929,331409,176887,110991,43531,324895,173058,109428,42409,324202,177594,104860,41748,327591,182857,102852,41882,334438,186167,104691,43580,341073,188425,106962,45686,348289,193255,111028,44006,353415,196431,113789,43195,357020,199045,114935,43040,356255,192524,118338,45393,357895,189176,122497,46222,296899,163904,96304,36691,366324,188619,128147,49558
"Kiên  Giang",335428,203786,103592,28050,332720,188635,112359,31726,329689,176977,116225,36487,320408,166676,113933,39799,312332,161834,109476,41022,302076,159389,100869,41818,294559,157258,96008,41293,290959,161167,90857,38935,283694,163536,85708,34450,283633,160875,87915,34843,284980,159981,89493,35506,287124,160748,92321,34055,288730,160579,94883,33268,290552,161650,94270,34632,288803,158037,94705,36061,290931,157724,96630,36577,197184,100215,67062,29907,301827,165349,98490,37988
"Cần Thơ",338905,189839,90371,58695,336859,175988,120526,40345,179241,89174,66342,23725,179688,87372,64994,27322,178499,87126,62957,28416,173694,86525,59404,27765,170752,85349,57545,27858,171973,89789,55025,27159,171931,92168,53678,26085,173986,92750,55447,25789,176941,94107,56215,26619,181560,96919,59429,25212,184949,97793,62088,25068,189141,99884,62906,26351,189556,96521,64368,28667,192583,96849,66562,29172,132215,68601,45031,18583,200831,100568,69160,31103
"Hậu Giang",..,..,..,..,..,..,..,..,135855,68526,51066,16263,130707,64957,47779,17971,127585,64413,44497,18675,122993,62955,41027,19011,119345,62066,39483,17796,118639,65138,37419,16082,119655,67181,37004,15470,123222,67497,39442,16283,125186,68800,39771,16615,127933,70231,41728,15974,128774,69033,43800,15941,129762,69375,43747,16640,129367,67049,44557,17761,130359,66683,45557,18119,218759,121257,70900,26602,133597,68754,45641,19202
"Sóc Trăng",258738,158063,76693,23982,251060,147767,78084,25209,240549,133212,79524,27813,229947,123517,76537,29893,221892,119952,71766,30174,213978,118167,66881,28930,206550,114639,64216,27695,208560,118747,61952,27861,209430,122345,60476,26609,214739,123400,64050,27289,215652,122755,66073,26824,219035,123115,69635,26285,221088,122102,72905,26081,219051,120625,72262,26164,216579,116604,72809,27166,216437,116770,72503,27164,138902,76102,45953,16847,217647,118405,71703,27539
"Bạc Liêu",168347,100494,51915,15938,170055,93120,60076,16859,157599,85879,54355,17365,148903,79033,51098,18772,143520,75893,48346,19281,138141,75006,44715,18420,133627,75497,41204,16926,132755,79050,38376,15329,134006,81784,37572,14650,137594,82291,40092,15211,139426,81211,43091,15124,140608,79945,46330,14333,141007,78258,48574,14175,140111,76519,48918,14674,137268,73050,48513,15705,137397,73166,47907,16324,215197,113580,69663,31954,139680,76171,45975,17534
"Cà Mau",256713,153095,80393,23225,243874,137521,82051,24302,232975,124678,81869,26428,222252,116679,76894,28679,215719,113116,72971,29632,206201,113147,65884,27170,200745,113692,61513,25540,202028,120239,57288,24501,204242,123976,55807,24459,207320,123755,59074,24491,207336,121095,62336,23905,210152,120457,67490,22205,214258,117836,72975,23447,214691,115817,74095,24779,210535,110006,73091,27438,211841,110023,71922,29896,188514,95628,62386,30500,215148,112342,69408,33398
"Học sinh phổ thông trong các trường đại học",5555,..,..,5555,4112,..,..,4112,4098,..,..,4098,..,..,..,..,4260,..,..,4260,4270,..,..,4270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
