"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Nghệ An",34175,16683,12819,4673,35821,16682,14154,4985,35708,16033,14484,5191,34758,15019,14225,5514,34994,14826,14474,5694,34673,14415,14266,5992,33907,14034,13854,6019,33224,13508,13644,6072,33780,14020,13685,6075,33188,13974,13252,5962,33487,14332,13262,5893,32742,14085,12843,5814,31976,13821,12495,5660,31462,13716,12182,5564,30764,13424,11837,5503,30173,13275,11454,5444,28837,13004,10781,5052,28000,12535,10293,5172
"Hà Tĩnh",14506,6432,6136,1938,14763,6323,6237,2203,15528,6108,6962,2458,14765,5497,6559,2709,14967,5435,6717,2815,15204,5359,6771,3074,15032,5491,6303,3238,15039,5614,6208,3217,14979,5658,6027,3294,14265,5400,5754,3111,14675,5802,5744,3129,14067,5532,5488,3047,13705,5429,5303,2973,13587,5421,5194,2972,13425,5424,5060,2941,13193,5340,4971,2882,13035,5399,4873,2763,12726,5259,4699,2768
"Quảng Bình",8748,3979,3723,1046,8992,3913,3857,1222,9252,3895,4011,1346,9413,3751,4081,1581,9459,3660,4164,1635,9683,3871,4134,1678,9521,3804,3953,1764,9708,4077,3857,1774,9708,4238,3679,1791,9590,4218,3598,1774,9688,4272,3657,1759,9821,4535,3544,1742,9845,4526,3558,1761,10071,4683,3600,1788,9850,4639,3431,1780,9732,4621,3367,1744,8914,4373,2977,1564,9038,4359,3018,1661
"Quảng Trị",6768,3232,2335,1201,7220,3358,2688,1174,7715,3426,3045,1244,8086,3439,3319,1328,8433,3556,3434,1443,8709,3658,3427,1624,8538,3601,3300,1637,8981,3716,3383,1882,8756,3733,3273,1750,8485,3661,3189,1635,8412,3726,3198,1488,8413,3772,3112,1529,8241,3768,2944,1529,8351,3849,2973,1529,8192,3782,2878,1532,8055,3779,2758,1518,7698,3200,2624,1874,7438,3411,2533,1494
"Thừa Thiên-Huế",9484,4517,3486,1481,10139,4668,3927,1544,10902,4728,4040,2134,10606,4569,4312,1725,10995,4575,4578,1842,11803,4809,4753,2241,12278,5299,4711,2268,12157,4976,4785,2396,12402,5104,4797,2501,12165,5277,4468,2420,12683,5254,4938,2491,12585,5276,4808,2501,12283,5179,4615,2489,11969,5084,4450,2435,11820,5055,4324,2441,11752,5049,4259,2444,11024,4902,3939,2183,10847,4844,3793,2210
"Đà Nẵng",6420,2745,2588,1087,6624,2808,2654,1162,6848,2839,2781,1228,7043,2799,2834,1410,7033,2740,2797,1496,7249,2809,2852,1588,7271,2815,2840,1616,7327,2870,2828,1629,7412,2961,2765,1686,7422,2978,2754,1690,7578,3074,2813,1691,7534,3112,2721,1701,7978,3493,2775,1710,8028,3560,2774,1694,8142,3613,2792,1737,8545,3813,2942,1790,7895,3540,2659,1696,8897,4058,3011,1828
"Quảng  Nam",13460,6714,5119,1627,13914,6746,5446,1722,13801,6513,5465,1823,14413,6517,5911,1985,14445,6337,5998,2110,14656,6275,6046,2335,14598,6116,5936,2546,15120,6366,6076,2678,15329,6469,6028,2832,15202,6433,5942,2827,15829,6858,6039,2932,15896,6953,5916,3027,16215,7149,6026,3040,16405,7312,6034,3059,16178,7271,5964,2943,15764,7183,5743,2838,14062,6863,5195,2004,13880,6167,5112,2601
"Quảng  Ngãi",11230,5408,4184,1638,11478,5386,4396,1696,11781,5281,4669,1831,11854,5089,4854,1911,12032,5003,4917,2112,12006,4918,5019,2069,11989,4863,5040,2086,12298,4919,5163,2216,12287,4831,5191,2265,12229,4850,5090,2289,12741,5085,5277,2379,12599,5133,5063,2403,12769,5301,5100,2368,12884,5421,5146,2317,12796,5442,5077,2277,12426,5350,4900,2176,11440,5024,4396,2020,11357,4787,4400,2170
"Bình Định",11807,6067,4265,1475,12326,6139,4673,1514,12443,6084,4736,1623,12652,5973,4945,1734,12534,5717,4972,1845,13217,5852,5256,2109,13570,5886,5354,2330,13639,5889,5341,2409,13809,5980,5287,2542,13809,6049,5262,2498,14188,6239,5267,2682,14241,6261,5284,2696,14106,6278,5174,2654,14192,6338,5163,2691,14075,6286,5087,2702,13869,6176,5018,2675,13863,6301,4988,2574,12846,5694,4700,2452
"Phú Yên",9480,4714,3480,1286,9843,4794,3733,1316,9873,4630,3624,1619,10197,4768,3935,1494,10344,4592,4128,1624,10158,4623,4005,1530,10245,4555,4120,1570,10080,4489,3986,1605,10339,4540,4025,1774,10967,4690,4302,1975,10532,4632,4122,1778,10458,4357,4178,1923,10622,4596,4091,1935,10440,4535,4013,1892,10404,4492,4029,1883,10255,4419,3924,1912,9636,4193,3694,1749,9297,3985,3580,1732
